question,answer,a_lang
안녕하세요.,你好！,zh
안녕히 계세요,再见。,zh
죄송해요.,对不起。,zh
괜찮아요.,没关系。,zh
감사해요.,谢谢！,zh
천만에요.,不用谢。,zh
나,我,zh
"너, 당신",你,zh
그,他,zh
그녀,她,zh
우리,我们,zh
"너희들, 당신들",你们,zh
"그들, 그 사람들",他们,zh
"이거, 이것",这,zh
"저거, 저것",那,zh
여러분,大家,zh
"여러분, 안녕하세요",大家好。,zh
그녀들,她们,zh
"여러분, 감사합니다.",谢谢你们。（谢谢大家。）,zh
힘내! 화이팅!,加油！,zh
그는 있습니까?,他在吗？,zh
있습니다.,在。,zh
그들은 있습니까?,他们在吗？,zh
그들은 없습니다.,他们不在。,zh
그는 당신을 사랑합니다.,他爱你。,zh
그는 당신을 사랑합니까?,他爱你吗？,zh
그는 당신을 좋아해요.,他喜欢你。,zh
그는 당신을 좋아하지 않아요.,他不喜欢你。,zh
당신은 그를 사랑하나요?,你爱他吗？,zh
나는 그를 사랑해요.,我爱他。,zh
당신은 강아지를 좋아하나요?,你喜欢狗吗？,zh
나는 강아지를 좋아하지 않아요.,我不喜欢狗。,zh
당신은 남자 친구가 있나요?,你有男朋友吗？,zh
없어요.,我没有。,zh
그녀는 남자 친구가 있나요?,她有男朋友吗？,zh
그녀는 있어요.,她有。,zh
당신은 남자 친구가 있나요?,你有没有男朋友？,zh
(당신은) 펜이 있나요?,你有笔吗？,zh
(펜이) 있어요.,有笔。,zh
나는 배우자가 있어요.,我有爱人。,zh
